xG,xGA,Poss,Touches,Press,Tkl,Int,Blocks,xG_Expected,npxG_Expected,xA_Expected,Att_Passes,Cmp_percent_Passes,Prog_Passes,Prog_Carries,Succ_Dribbles,Att_Dribbles,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Att_Short,Cmp_percent_Short,Att_Medium,Cmp_percent_Medium,Att_Long,Cmp_percent_Long,PPA,CrsPA,Live_Pass_Types,Dead_Pass_Types,FK_Pass_Types,TB_Pass_Types,Press_Pass_Types,Sw_Pass_Types,Crs_Pass_Types,CK_Pass_Types,Int_Outcomes,Blocks_Outcomes,Tkl_Tackles,TklW_Tackles,Def.3rd_Tackles,Mid.3rd_Tackles,Att.3rd_Tackles,Att_Vs_Dribbles,Tkl_percent_Vs_Dribbles,Past_Vs_Dribbles,Press_Pressures,Succ_Pressures,Def.3rd_Pressures,Mid.3rd_Pressures,Att.3rd_Pressures,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Tkl.Int,Clr,Err,Touches_Touches,Def.Pen_Touches,Def.3rd_Touches,Mid.3rd_Touches,Att.3rd_Touches,Att.Pen_Touches,Succ_percent_Dribbles,PrgDist_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,Won_percent_Aerial_Duels,Recov,Saves_Shot_Stopping,SoTA_Shot_Stopping,Att_Goal_Kicks,Save_percent_Shot_Stopping,Stp_percent_Crosses,SoT,GCA_SCA,Prog,TotDist_Carries,PSxG_Shot_Stopping,Opp_Crosses,AvgDist_Sweeper,Player_NumOPA_Sweeper,formation_class,win_nowin
1.0,1.3,58,702,158,13,19,15,1.0,1.0,0.8,587,79.7,44,63,12,16,79.7,8828,2804,217,87.6,259,84.9,89,58.4,8,2,531,56,14,0,115,13,17,7,19,16,13,6,8,3,2,7,42.9,4,158,42,60,63,35,1,0,14,32,11,0,702,55,219,288,230,22,75.0,1346,17,5,16,8,15,14,2,17,6,0,0,67.5,106,5,7,4,71.4,22.2,5,4,44,2422,2.1,9,9.8,0,343,1
1.7,0.4,61,770,132,10,14,14,1.7,1.7,1.5,651,84.2,49,63,13,22,84.2,10354,3286,252,89.7,262,88.5,114,67.5,17,2,611,40,11,5,70,10,13,2,11,12,10,6,6,3,1,10,30.0,7,132,37,39,74,19,0,0,14,24,33,0,770,69,308,348,170,36,59.1,1623,19,9,17,4,11,10,1,13,6,0,0,57.6,96,1,2,4,50.0,0.0,5,2,49,2890,1.0,5,14.3,1,352,1
1.8,0.8,50,725,115,15,20,17,1.9,1.9,1.3,613,85.5,38,55,8,17,85.5,9923,3109,228,87.7,268,92.2,93,71.0,11,1,572,41,14,0,57,5,10,2,23,9,15,11,8,5,2,13,69.2,4,115,37,48,47,20,3,0,14,35,20,0,725,84,280,356,150,32,47.1,1540,18,6,7,14,11,14,3,10,11,0,0,58.8,71,3,3,4,100.0,6.3,3,2,38,2557,0.1,16,12.2,0,4231,1
0.5,0.9,34,516,160,17,22,14,0.5,0.5,0.5,408,72.8,26,40,6,7,72.8,5701,2343,140,86.4,143,81.1,98,45.9,9,3,364,44,9,0,88,11,12,3,9,8,17,12,10,6,1,13,38.5,8,160,37,71,70,19,1,0,13,39,19,0,516,72,217,212,116,21,85.7,903,11,6,8,11,14,9,2,12,12,0,0,49.0,67,6,6,11,100.0,13.3,4,2,26,1711,0.5,15,8.7,0,4231,1
2.0,0.5,78,1015,130,18,12,8,2.1,2.1,0.8,880,85.7,98,113,14,25,85.7,14622,4709,306,87.9,352,92.3,156,76.9,26,2,826,54,12,1,93,27,21,9,27,17,18,14,6,6,6,9,66.7,3,130,70,20,54,56,0,0,8,30,13,0,1015,32,169,503,414,78,56.0,2017,31,11,27,18,8,11,3,21,14,0,0,41.9,146,1,2,1,50.0,0.0,5,0,98,3789,0.7,1,36.8,4,343,0
0.9,2.3,57,724,146,17,20,11,0.9,0.9,0.7,601,84.7,32,62,14,24,84.7,9498,2817,243,89.7,254,89.0,80,70.0,8,2,557,44,11,0,51,15,11,2,26,14,17,5,9,4,4,15,60.0,6,146,41,57,55,34,5,0,6,37,35,0,724,71,239,327,212,15,58.3,1515,17,2,10,13,10,13,2,11,5,0,0,72.5,79,4,7,7,57.1,0.0,2,0,32,2976,2.6,11,13.4,1,4231,0
2.0,0.3,63,818,122,15,6,11,2.0,1.2,0.9,698,87.2,42,53,22,28,87.2,11468,3492,284,90.5,289,92.0,108,72.2,6,2,648,50,8,1,94,16,6,5,21,8,15,8,8,7,0,15,60.0,6,122,35,38,60,24,1,0,10,21,22,0,818,78,235,431,207,22,78.6,1447,24,7,15,27,13,13,1,6,8,1,0,41.0,86,2,2,6,100.0,5.9,3,6,42,2593,0.4,17,19.3,1,433,1
2.6,2.1,62,845,103,12,10,12,2.6,2.6,2.4,748,87.4,46,76,11,15,87.4,11813,3411,327,93.3,288,89.2,115,71.3,9,3,698,50,11,4,104,19,17,5,18,9,12,8,5,6,1,13,38.5,8,103,31,22,43,38,3,0,9,22,15,0,845,56,217,460,223,26,73.3,1617,18,9,7,12,12,12,3,17,8,0,0,66.7,81,4,6,10,66.7,0.0,11,6,46,3127,1.7,7,4.0,0,433,1
1.5,0.2,80,1062,89,14,8,10,1.5,0.7,0.6,952,90.3,52,98,16,17,90.3,13246,3368,519,94.2,316,90.8,75,74.7,14,0,902,50,17,1,140,13,16,5,25,14,14,11,6,3,5,9,55.6,4,89,39,27,33,29,3,0,7,22,28,0,1062,50,191,435,496,37,94.1,1905,33,2,7,15,10,19,2,16,11,1,0,53.6,84,1,2,6,50.0,0.0,2,2,52,3550,0.3,8,26.0,1,433,1
1.2,0.8,71,866,168,13,17,10,1.2,1.2,0.9,736,86.8,51,73,17,21,86.8,11962,3551,296,92.6,315,91.1,110,65.5,15,1,690,46,6,0,80,12,20,7,24,10,13,5,9,4,0,17,58.8,7,168,55,62,64,42,1,0,9,30,31,0,866,64,232,413,280,43,81.0,1733,21,12,15,12,10,8,2,20,5,0,0,60.0,97,1,1,13,100.0,0.0,6,4,51,2953,0.0,7,14.5,0,433,1
2.5,0.6,76,909,117,11,16,11,2.5,1.8,1.5,790,88.4,62,84,7,12,88.4,12773,3649,350,92.0,291,91.8,114,76.3,11,2,752,38,8,2,87,25,8,5,34,6,11,10,4,6,1,11,18.2,9,117,43,35,48,34,0,0,11,27,28,0,909,64,212,506,260,28,58.3,2027,22,9,15,11,9,13,0,8,10,1,0,30.2,92,1,2,8,50.0,25.0,6,6,62,3359,0.9,4,14.6,0,433,1
1.4,0.7,71,903,107,10,20,10,1.4,1.4,0.8,806,86.1,77,89,17,27,86.1,12864,4125,329,93.0,346,87.3,108,74.1,16,4,754,52,11,1,95,18,18,8,21,19,10,6,3,3,4,11,9.1,10,107,32,25,49,33,1,0,9,30,10,0,903,45,145,498,321,34,63.0,1807,27,7,7,11,9,13,3,18,6,0,0,55.0,94,1,1,10,100.0,12.5,7,0,77,2815,0.2,8,14.0,0,433,0
1.8,1.5,47,702,175,12,30,16,1.8,1.8,1.6,589,83.2,20,30,5,10,83.2,9115,3259,245,88.6,245,85.3,82,67.1,3,1,544,45,11,3,97,11,7,4,21,11,12,7,8,4,0,9,33.3,6,175,46,71,78,26,4,2,12,42,18,0,702,84,322,288,127,17,50.0,969,7,6,14,9,10,10,2,7,7,0,0,55.6,67,3,4,13,75.0,7.7,4,2,20,2053,1.1,13,12.4,0,433,0
2.6,1.4,64,817,158,10,13,13,2.7,2.7,1.6,699,87.3,60,65,8,13,87.3,11098,3709,307,92.2,274,90.9,100,73.0,19,0,640,59,13,2,81,14,12,12,23,11,10,6,1,6,3,12,66.7,4,158,37,51,68,39,3,0,10,23,12,0,817,51,162,403,296,49,61.5,1232,19,6,12,21,11,16,0,12,6,0,0,55.2,77,5,6,8,100.0,0.0,6,5,60,2328,0.5,5,22.5,1,433,1
1.9,0.6,62,785,142,16,27,10,2.2,2.2,1.0,656,85.8,46,70,11,20,85.8,9701,3340,298,91.6,240,91.7,96,60.4,10,2,603,53,17,0,110,11,13,5,14,8,16,7,9,7,0,16,12.5,14,142,46,39,73,30,0,0,10,43,11,0,785,80,223,379,242,38,55.0,1800,21,9,9,19,11,19,2,13,7,0,0,46.4,69,2,4,5,50.0,50.0,6,2,46,2998,1.3,2,14.5,1,433,0
2.7,0.5,69,912,94,13,10,9,2.7,2.7,2.1,814,90.2,29,44,9,17,90.2,12640,3940,392,94.6,312,92.6,92,69.6,8,2,767,47,19,3,96,18,4,4,20,11,13,6,7,5,1,9,55.6,4,94,22,25,47,22,3,0,6,23,18,0,912,62,282,517,160,26,52.9,1384,19,7,6,2,9,15,0,4,6,0,0,54.8,76,1,1,6,100.0,0.0,8,7,29,3038,0.0,11,85.0,1,433,1
1.8,0.6,72,1007,130,18,9,7,1.8,1.8,1.8,919,90.0,41,102,10,18,90.0,15666,4230,369,91.3,390,93.3,142,81.0,11,2,873,46,14,2,65,30,14,4,15,15,18,16,8,8,2,16,25.0,12,130,57,34,68,28,3,0,4,27,8,0,1007,66,240,552,277,25,55.6,1912,30,2,13,17,6,18,6,14,16,0,0,50.0,88,1,2,4,50.0,0.0,6,5,41,3481,0.5,5,19.0,2,433,1
1.0,0.5,68,834,93,20,12,11,1.0,1.0,0.8,735,86.0,64,62,7,12,86.0,11333,3397,326,92.0,274,91.2,114,61.4,9,1,680,55,16,2,82,20,14,5,19,6,20,15,5,10,5,16,50.0,8,93,40,23,41,29,2,0,9,32,6,0,834,52,204,484,201,19,58.3,1873,9,1,16,10,10,14,5,14,15,0,0,45.5,84,1,1,10,100.0,0.0,3,0,64,3128,0.1,3,16.8,0,433,0
0.8,2.5,60,706,105,17,21,12,0.8,0.8,0.5,581,83.3,44,57,8,12,83.3,9171,3459,241,87.1,211,85.8,107,72.9,14,5,523,58,21,0,57,22,16,4,19,8,17,13,8,7,2,16,25.0,12,105,33,42,35,28,4,0,8,38,10,0,706,56,206,377,185,31,66.7,1321,20,3,22,19,13,19,5,16,13,0,0,54.8,92,6,9,9,66.7,0.0,2,2,44,2456,2.8,9,13.7,0,433,0
